id,obs_id,choice,chosen_alt,av_alt1,av_alt2,av_alt3,tt1,tt2,tt3,tc1,tc2,tc3,age,sex,edu,inchh,urb,sclass
18,138,3,alt3,1,1,1,27,23,31,5,6,3,2,1,6,3,4,2
18,139,1,alt1,1,1,1,35,31,27,3,4,6,2,1,6,3,4,2
18,140,3,alt3,1,1,1,23,27,31,6,4,3,2,1,6,3,4,2
19,141,1,alt1,1,1,1,23,27,35,6,4,3,4,1,5,2,2,3
19,142,2,alt2,1,1,1,27,35,23,5,4,6,4,1,5,2,2,3
19,143,3,alt3,1,1,1,35,23,31,3,5,4,4,1,5,2,2,3
19,144,1,alt1,1,1,1,27,23,35,4,5,3,4,1,5,2,2,3
19,145,2,alt2,1,1,1,35,27,31,3,6,5,4,1,5,2,2,3
19,146,3,alt3,1,1,1,23,27,35,6,5,3,4,1,5,2,2,3
19,147,1,alt1,1,1,1,35,31,23,3,5,6,4,1,5,2,2,3
19,148,2,alt2,1,1,1,27,23,31,5,6,3,4,1,5,2,2,3
19,149,2,alt2,1,1,1,35,31,27,3,4,6,4,1,5,2,2,3
19,150,2,alt2,1,1,1,23,27,31,6,4,3,4,1,5,2,2,3
20,151,3,alt3,1,1,1,23,27,35,6,4,3,2,1,6,3,3,1
20,152,2,alt2,1,1,1,27,35,23,5,4,6,2,1,6,3,3,1
20,153,3,alt3,1,1,1,35,23,31,3,5,4,2,1,6,3,3,1
20,154,3,alt3,1,1,1,27,23,35,4,5,3,2,1,6,3,3,1
20,155,1,alt1,1,1,1,35,27,31,3,6,5,2,1,6,3,3,1
20,156,3,alt3,1,1,1,23,27,35,6,5,3,2,1,6,3,3,1
20,157,1,alt1,1,1,1,35,31,23,3,5,6,2,1,6,3,3,1
20,158,3,alt3,1,1,1,27,23,31,5,6,3,2,1,6,3,3,1
20,159,2,alt2,1,1,1,35,31,27,3,4,6,2,1,6,3,3,1
20,160,3,alt3,1,1,1,23,27,31,6,4,3,2,1,6,3,3,1
22,161,2,alt2,1,1,1,23,27,35,6,4,3,1,1,6,3,4,2
22,162,1,alt1,1,1,1,27,35,23,5,4,6,1,1,6,3,4,2
22,163,2,alt2,1,1,1,35,23,31,3,5,4,1,1,6,3,4,2
22,164,1,alt1,1,1,1,27,23,35,4,5,3,1,1,6,3,4,2
22,165,1,alt1,1,1,1,35,27,31,3,6,5,1,1,6,3,4,2
22,166,3,alt3,1,1,1,23,27,35,6,5,3,1,1,6,3,4,2
22,167,1,alt1,1,1,1,35,31,23,3,5,6,1,1,6,3,4,2
22,168,3,alt3,1,1,1,27,23,31,5,6,3,1,1,6,3,4,2
22,169,1,alt1,1,1,1,35,31,27,3,4,6,1,1,6,3,4,2
22,170,3,alt3,1,1,1,23,27,31,6,4,3,1,1,6,3,4,2
23,171,1,alt1,1,1,1,23,27,35,6,4,3,1,1,6,3,4,4
23,172,1,alt1,1,1,1,27,35,23,5,4,6,1,1,6,3,4,4
23,173,2,alt2,1,1,1,35,23,31,3,5,4,1,1,6,3,4,4
23,174,2,alt2,1,1,1,27,23,35,4,5,3,1,1,6,3,4,4
23,175,3,alt3,1,1,1,35,27,31,3,6,5,1,1,6,3,4,4
23,176,2,alt2,1,1,1,23,27,35,6,5,3,1,1,6,3,4,4
23,177,2,alt2,1,1,1,35,31,23,3,5,6,1,1,6,3,4,4
23,178,1,alt1,1,1,1,27,23,31,5,6,3,1,1,6,3,4,4
23,179,2,alt2,1,1,1,35,31,27,3,4,6,1,1,6,3,4,4
23,180,2,alt2,1,1,1,23,27,31,6,4,3,1,1,6,3,4,4
24,181,2,alt2,1,1,1,23,27,35,6,4,3,3,1,6,4,1,2
24,182,3,alt3,1,1,1,27,35,23,5,4,6,3,1,6,4,1,2
24,183,2,alt2,1,1,1,35,23,31,3,5,4,3,1,6,4,1,2
24,184,2,alt2,1,1,1,27,23,35,4,5,3,3,1,6,4,1,2
24,185,2,alt2,1,1,1,35,27,31,3,6,5,3,1,6,4,1,2
24,186,1,alt1,1,1,1,23,27,35,6,5,3,3,1,6,4,1,2
24,187,3,alt3,1,1,1,35,31,23,3,5,6,3,1,6,4,1,2
24,188,3,alt3,1,1,1,27,23,31,5,6,3,3,1,6,4,1,2
24,189,2,alt2,1,1,1,35,31,27,3,4,6,3,1,6,4,1,2
24,190,2,alt2,1,1,1,23,27,31,6,4,3,3,1,6,4,1,2
25,191,1,alt1,1,1,1,23,27,35,6,4,3,3,2,2,1,5,4
25,192,3,alt3,1,1,1,27,35,23,5,4,6,3,2,2,1,5,4
25,193,2,alt2,1,1,1,35,23,31,3,5,4,3,2,2,1,5,4
25,194,2,alt2,1,1,1,27,23,35,4,5,3,3,2,2,1,5,4
25,195,2,alt2,1,1,1,35,27,31,3,6,5,3,2,2,1,5,4
25,196,1,alt1,1,1,1,23,27,35,6,5,3,3,2,2,1,5,4
25,197,3,alt3,1,1,1,35,31,23,3,5,6,3,2,2,1,5,4
25,198,2,alt2,1,1,1,27,23,31,5,6,3,3,2,2,1,5,4
25,199,2,alt2,1,1,1,35,31,27,3,4,6,3,2,2,1,5,4
25,200,3,alt3,1,1,1,23,27,31,6,4,3,3,2,2,1,5,4
26,201,2,alt2,1,1,1,23,27,35,6,4,3,3,2,6,3,2,3
26,202,1,alt1,1,1,1,27,35,23,5,4,6,3,2,6,3,2,3
26,203,3,alt3,1,1,1,35,23,31,3,5,4,3,2,6,3,2,3
26,204,1,alt1,1,1,1,27,23,35,4,5,3,3,2,6,3,2,3
26,205,3,alt3,1,1,1,35,27,31,3,6,5,3,2,6,3,2,3
26,206,2,alt2,1,1,1,23,27,35,6,5,3,3,2,6,3,2,3
26,207,2,alt2,1,1,1,35,31,23,3,5,6,3,2,6,3,2,3
26,208,1,alt1,1,1,1,27,23,31,5,6,3,3,2,6,3,2,3
26,209,2,alt2,1,1,1,35,31,27,3,4,6,3,2,6,3,2,3
26,210,2,alt2,1,1,1,23,27,31,6,4,3,3,2,6,3,2,3
27,211,2,alt2,1,1,1,23,27,35,6,4,3,1,1,4,2,4,3
27,212,1,alt1,1,1,1,27,35,23,5,4,6,1,1,4,2,4,3
27,213,1,alt1,1,1,1,35,23,31,3,5,4,1,1,4,2,4,3
27,214,3,alt3,1,1,1,27,23,35,4,5,3,1,1,4,2,4,3
27,215,1,alt1,1,1,1,35,27,31,3,6,5,1,1,4,2,4,3
27,216,3,alt3,1,1,1,23,27,35,6,5,3,1,1,4,2,4,3
27,217,1,alt1,1,1,1,35,31,23,3,5,6,1,1,4,2,4,3
27,218,3,alt3,1,1,1,27,23,31,5,6,3,1,1,4,2,4,3
27,219,1,alt1,1,1,1,35,31,27,3,4,6,1,1,4,2,4,3
27,220,3,alt3,1,1,1,23,27,31,6,4,3,1,1,4,2,4,3
28,221,1,alt1,1,1,1,23,27,35,6,4,3,1,1,2,1,5,5
28,222,3,alt3,1,1,1,27,35,23,5,4,6,1,1,2,1,5,5
28,223,2,alt2,1,1,1,35,23,31,3,5,4,1,1,2,1,5,5
28,224,2,alt2,1,1,1,27,23,35,4,5,3,1,1,2,1,5,5
28,225,2,alt2,1,1,1,35,27,31,3,6,5,1,1,2,1,5,5
28,226,1,alt1,1,1,1,23,27,35,6,5,3,1,1,2,1,5,5
28,227,3,alt3,1,1,1,35,31,23,3,5,6,1,1,2,1,5,5
28,228,2,alt2,1,1,1,27,23,31,5,6,3,1,1,2,1,5,5
28,229,3,alt3,1,1,1,35,31,27,3,4,6,1,1,2,1,5,5
