Total Episodes: 7469
Training Time (seconds): 16358.66
Average Reward: 0.2349
Unique Models Explored: 8995
Converged Models: 2348

Overall Best Candidate History:

Metric: AIC
  Episode: 353, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 354, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 355, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 356, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 357, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 358, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 359, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 360, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 361, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 362, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 363, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 364, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 365, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 366, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 367, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 368, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 369, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 370, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 371, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 372, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 373, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 374, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 375, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 376, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 377, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 378, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 379, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 380, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 381, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 382, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 383, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 384, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 385, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 386, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 387, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 388, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 389, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 390, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 391, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 392, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 393, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 394, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 395, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 396, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 397, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 398, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 399, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 400, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 401, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 402, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 403, Value: 7753.2562, Representation: 100_101_116_111_101
