id,obs_id,choice,chosen_alt,avail_car,avail_bus,avail_rail,avail_taxi,avail_cycling,avail_walking,car_travel_time_min,bus_ivt_time_min,rail_ivt_time_min,taxi_travel_time_min,cycling_travel_time_min,walking_travel_time_min,total_car_cost,bus_cost_total_per_leg,rail_cost_total_per_leg,taxi_cost,ovt_bus_min,ovt_rail_min,city,hh_size,purpose,income_perso,income_hh,age,education,female,british_origin,occ,n_car
43649,2315,1,car,1,1,0,1,1,0,6.2,25.7166666666667,0.0,6.2,16.9,60.4666666666667,0.553091656433623,3.4,0.0,5.76876208333333,11.5333333333333,0.0001,1,1,3.0,4,2,1,2,1,1,1.0,1
44312,2316,1,car,1,1,0,1,1,0,28.3833333333333,26.3166666666667,26.3166666666667,28.3833333333333,29.9333333333333,90.55,9.01958520104324,2.3,2.3,9.43031125,15.5333333333333,15.5333333333333,1,1,2.0,4,2,1,2,1,1,1.0,1
45138,2317,1,car,1,1,1,1,1,0,21.5166666666667,26.3166666666667,20.6666666666667,21.5166666666667,27.3833333333333,80.95,1.07711498109855,2.3,12.7,8.58400666666667,15.1166666666666,34.0166666666666,1,1,2.0,4,2,1,2,1,1,1.0,1
45156,2318,6,walking,0,1,0,1,0,1,5.23333333333333,0.633333333333333,0.0,5.23333333333333,3.23333333333333,11.9666666666667,6.02561000411795,1.5,0.0,3.88125125,10.5,0.0001,1,1,2.0,4,2,1,2,1,1,1.0,1
45363,2319,6,walking,0,1,0,1,1,1,8.7,3.0,0.0,8.7,6.2,16.0333333333333,1.6155560751468,1.5,0.0,4.44129583333333,8.3333333333333,0.0001,1,1,4.0,4,2,1,2,1,1,1.0,1
45417,2320,6,walking,0,1,0,1,0,1,7.26666666666667,3.0,0.0,7.26666666666667,4.28333333333333,15.15,5.59215545667331,1.5,0.0,4.14218291666667,7.5333333333333,0.0001,1,1,2.0,4,2,1,2,1,1,1.0,1
46048,2321,1,car,1,1,1,1,1,0,18.7833333333333,26.3166666666667,20.6666666666667,18.7833333333333,27.4333333333333,81.1166666666667,0.960552077100674,2.3,12.7,8.3106475,15.2833333333333,34.05,1,1,2.0,4,2,1,2,1,1,1.0,1
46070,2322,6,walking,0,1,0,1,0,1,5.41666666666667,1.0,0.0,5.41666666666667,3.2,11.8833333333333,8.19086040521516,1.5,0.0,3.89615291666667,10.4166666666667,0.0001,1,1,2.0,4,2,1,2,1,1,1.0,1
48700,2323,1,car,1,1,1,1,0,0,57.7333333333333,79.45,91.35,57.7333333333333,227.883333333333,674.333333333333,7.55590188452362,8.0,29.0,41.14396875,34.633333333333,43.75,1,1,4.0,4,2,1,2,1,1,1.0,1
40510,2324,1,car,1,1,0,1,0,0,16.4,25.4166666666667,14.9,16.4,44.55,180.916666666667,1.58862729884422,3.4,3.4,11.4331508333333,22.8,30.35,1,1,4.0,6,3,3,2,0,1,1.0,1
40581,2325,6,walking,0,1,0,0,0,1,2.33333333333333,0.983333333333333,0.0,2.33333333333333,1.98333333333333,8.53333333333333,0.103704593681015,1.5,0.0,3.29030625,5.18333333333334,0.0001,1,1,4.0,6,3,3,2,0,1,1.0,1
40668,2326,1,car,1,1,0,1,0,0,37.8166666666667,59.2666666666667,51.05,37.8166666666667,92.5666666666667,298.033333333333,3.0287665215681,8.0,8.0,19.3860454166667,43.5333333333333,52.4,1,1,4.0,6,3,3,2,0,1,1.0,1
41622,2327,1,car,1,1,0,1,0,0,16.5666666666667,40.1666666666667,40.1666666666667,16.5666666666667,47.5833333333333,172.916666666667,1.85458404403417,5.7,5.7,12.5399204166667,28.2833333333333,28.2833333333333,1,1,3.0,6,3,3,2,0,1,1.0,1
43847,2328,1,car,1,1,0,1,0,0,7.9,2.58333333333333,2.58333333333333,7.9,12.05,39.9166666666667,0.460020498474176,2.3,2.3,5.32644708333333,20.95,20.95,1,1,1.0,6,3,3,2,0,1,1.0,1
45318,2329,1,car,1,1,1,1,0,0,35.7166666666667,84.1666666666667,56.6666666666667,35.7166666666667,104.5,303.766666666667,2.83420373178303,5.7,23.9,18.5012291666667,13.3666666666666,55.4500000000003,1,1,2.0,6,3,3,2,0,1,1.0,1
45514,2330,1,car,1,1,1,1,0,0,36.1166666666667,54.9333333333333,53.5333333333333,36.1166666666667,106.783333333333,301.05,2.78536426036385,8.0,23.9,18.3720416666667,27.1666666666667,61.0666666666667,1,1,2.0,6,3,3,2,0,1,1.0,1
45694,2331,6,walking,0,1,0,0,0,1,2.26666666666667,0.8,0.0,2.26666666666667,2.4,10.15,0.112799930145626,1.5,0.0,3.34279541666667,6.71666666666667,0.0001,1,1,4.0,6,3,3,2,0,1,1.0,1
46203,2332,1,car,1,1,1,1,0,0,34.5333333333333,65.7,75.9666666666667,34.5333333333333,103.75,302.35,2.77131925825666,8.0,30.6,18.17911625,35.683333333333,28.6166666666663,1,1,4.0,6,3,3,2,0,1,1.0,1
46413,2333,6,walking,0,0,0,1,0,1,6.03333333333333,0.0,0.0,6.03333333333333,5.55,10.65,0.233560773774891,0.0,0.0,4.02451875,0.0001,0.0001,1,1,4.0,6,3,3,2,0,1,1.0,1
46477,2334,1,car,1,1,0,1,0,0,24.4166666666667,22.7833333333333,22.7833333333333,24.4166666666667,48.6166666666667,170.183333333333,1.67709740660668,3.4,3.4,12.3054291666667,10.9,10.9,1,1,2.0,6,3,3,2,0,1,1.0,1
48230,2335,1,car,1,1,1,1,0,0,21.6666666666667,30.9333333333333,16.0,21.6666666666667,32.8833333333333,122.583333333333,2.94477031244921,3.0,12.0,10.6683754166667,25.4833333333334,39.5333333333333,1,1,3.0,6,3,3,2,0,1,1.0,1
48493,2336,1,car,1,1,1,1,0,0,15.6333333333333,16.2833333333333,6.0,15.6333333333333,32.4333333333333,90.8333333333333,0.919255631300768,3.8,4.5,7.91289,17.8166666666667,32.7333333333333,1,1,3.0,6,3,3,2,0,1,1.0,1
48508,2337,1,car,1,1,0,1,0,1,5.76666666666667,3.63333333333333,3.63333333333333,5.76666666666667,10.8666666666667,36.1166666666667,0.40837467656978,2.3,2.3,4.99108041666667,19.2333333333334,19.2333333333334,1,1,3.0,6,3,3,2,0,1,1.0,1
50108,2338,1,car,1,1,0,1,0,0,15.8166666666667,25.4166666666667,14.9,15.8166666666667,44.5,180.616666666667,1.5840572572679,3.4,3.4,11.3597441666667,22.5166666666666,30.0666666666667,1,1,2.0,6,3,3,2,0,1,1.0,1
50543,2339,1,car,1,1,1,1,0,0,28.9833333333333,60.7833333333333,34.4333333333333,28.9833333333333,92.45,279.7,2.94123744985837,8.7,29.1,18.2525775,42.6666666666667,48.8,1,1,4.0,6,3,3,2,0,1,1.0,1
50787,2340,1,car,1,1,0,1,0,0,15.95,25.4166666666667,14.9,15.95,44.5,180.633333333333,1.58443514037356,3.4,3.4,11.3738970833333,22.5166666666666,30.0666666666667,1,1,2.0,6,3,3,2,0,1,1.0,1
